strategy_id,date,total_pnl_dollars,total_pnl_pct,number_of_trades,number_of_symbols_traded,winning_trades_count,losing_trades_count,biggest_winner_contribution,biggest_loser_contribution,top_symbol,top_symbol_contribution,top_symbol_pct_of_day_pnl,cumulative_equity_before_day,cumulative_equity_after_day,rolling_drawdown_before_day,rolling_drawdown_after_day,positive_symbols_count,negative_symbols_count,rising_market,falling_or_volatile,calmer,regime_primary,spy_vol_20d,volatility_bucket,gap_pct,uptrend_regime,trend_stack_regime,dominant_symbol_family,gap_bucket,day_of_week,breadth_proxy,participation_type,gap_continuation_label,strategy_label
cross_sectional_momentum,2021-10-29 00:00:00+00:00,4388.191653832328,17.55276661532931,57,3,54,3,118.44825415939238,-0.4999000199960887,TSLA,2154.508020236642,49.097856023563864,68871.80495734101,73259.99661117334,0.0,0.0,3,0,True,False,True,rising_market,0.10412191704845261,low_vol,0.004484554747778757,True,True,mega_cap_tech_ex_nvda,-1% to 1%,Friday,1.0,multi_symbol_driven,broad_continuation,Cross-sectional momentum
cross_sectional_momentum,2021-11-01 00:00:00+00:00,5145.5317472606985,20.58212698904279,58,3,35,23,302.87947022432604,-38.25983228942499,TSLA,5423.034020195445,105.3930727972377,73259.99661117334,78405.52835843404,0.0,0.0,2,1,True,False,True,rising_market,0.08724231167820479,low_vol,0.02784585139902518,True,True,mega_cap_tech_ex_nvda,1% to 3%,Monday,0.6666666666666666,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-11-02 00:00:00+00:00,-1310.0670152651437,-5.240268061060575,59,3,16,43,70.20387690016503,-117.84858631655675,TSLA,-2057.04671993768,157.01843462728166,78405.52835843404,77095.46134316889,0.0,-1.6708860238478618,1,2,True,False,True,rising_market,0.08365718552099177,low_vol,-0.04073375366132159,True,True,mega_cap_tech_ex_nvda,<=-3%,Tuesday,0.3333333333333333,one_symbol_driven,major_gap_reaction,Cross-sectional momentum
cross_sectional_momentum,2021-11-03 00:00:00+00:00,3473.337044528307,13.893348178113229,60,3,57,3,133.17047853462554,-0.49990001999614386,TSLA,2306.585474098301,66.4083400063913,77095.46134316889,80568.7983876972,-1.6708860238478618,0.0,3,0,True,False,True,rising_market,0.08419682926381963,low_vol,0.004530678065886695,True,True,mega_cap_tech_ex_nvda,-1% to 1%,Wednesday,1.0,multi_symbol_driven,broad_continuation,Cross-sectional momentum
cross_sectional_momentum,2021-11-04 00:00:00+00:00,5563.690894765503,22.25476357906201,61,3,38,23,387.33173462159857,-79.596818674351,NVDA,6226.3370366583495,111.9101897360309,80568.7983876972,86132.4892824627,0.0,0.0,2,1,True,False,True,rising_market,0.08213437103199081,low_vol,0.02373775433308234,True,True,NVDA,1% to 3%,Thursday,0.6666666666666666,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-11-05 00:00:00+00:00,-2256.382602447804,-9.025530409791216,62,3,0,62,-0.4999000199958068,-90.79637105064225,NFLX,-1738.2288502691342,77.03608636157014,86132.4892824627,83876.1066800149,0.0,-2.6196649153471308,0,3,True,False,True,rising_market,0.08012550246038093,low_vol,-0.006582884500299202,True,True,mega_cap_tech_ex_nvda,-1% to 1%,Friday,0.0,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-11-08 00:00:00+00:00,-526.946941682414,-2.107787766729656,62,3,39,23,126.34906432756998,-187.3586378261889,TSLA,-3061.6798438683145,581.0224145324977,83876.1066800149,83349.15973833248,-2.6196649153471308,-3.231451415507769,2,1,True,False,True,rising_market,0.07093986351271882,low_vol,-0.059161429693637135,True,True,mega_cap_tech_ex_nvda,<=-3%,Monday,0.6666666666666666,one_symbol_driven,major_gap_reaction,Cross-sectional momentum
cross_sectional_momentum,2021-11-09 00:00:00+00:00,-7029.156359753586,-28.116625439014342,62,3,20,42,17.993521756374548,-433.2103940756324,TSLA,-7077.857543503859,100.6928453609187,83349.15973833248,76320.0033785789,-3.231451415507769,-11.392316634092348,1,2,True,False,True,rising_market,0.0719301282356281,low_vol,0.00915774538888181,True,True,mega_cap_tech_ex_nvda,-1% to 1%,Tuesday,0.3333333333333333,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-11-10 00:00:00+00:00,-893.1287544906663,-3.5725150179626652,63,3,20,43,136.261436867827,-143.01924304134377,NVDA,-2423.8903963577595,271.3931652262227,76320.0033785789,75426.87462408823,-11.392316634092348,-12.429240983929423,1,2,True,False,True,rising_market,0.0827239813212745,low_vol,-0.04249754821837204,True,True,NVDA,<=-3%,Wednesday,0.3333333333333333,one_symbol_driven,major_gap_reaction,Cross-sectional momentum
cross_sectional_momentum,2021-11-11 00:00:00+00:00,2451.984009838925,9.807936039355699,63,3,40,23,106.53231406880855,-14.211514114671672,NVDA,1860.0060899111481,75.85718676988171,75426.87462408823,77878.85863392716,-12.429240983929423,-9.582482425961947,2,1,True,False,True,rising_market,0.06657106597828616,low_vol,0.03401360544217691,True,True,NVDA,>=3%,Thursday,0.6666666666666666,one_symbol_driven,major_gap_reaction,Cross-sectional momentum
