entry_time,exit_time,mode,side,entry_price,exit_price,gross_price_return_pct,net_trade_return_pct,bars_held,entry_reason,exit_reason,cost_bps_per_side,equity_after_trade
2022-04-18 11:45:00-04:00,2022-04-18 13:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,337.72,339.4086,-0.4999999999999855,-0.539796019999983,8,bias_change,stop_loss,2.0,121090.09700199544
2022-04-18 14:00:00-04:00,2022-04-18 15:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,339.9,338.2005,-0.5000000000000002,-0.539796019999994,7,bias_change,stop_loss,2.0,120436.45747776453
2022-04-19 10:15:00-04:00,2022-04-19 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,342.72,346.13,0.9949813258636694,0.9545873731325649,23,bias_change,session_close,2.0,121586.12869349546
2022-04-20 10:00:00-04:00,2022-04-20 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,343.07,341.05,0.5888011193050928,0.5485696224094117,24,bias_change,session_close,2.0,122253.1132605716
2022-04-21 10:00:00-04:00,2022-04-21 10:15:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,345.94,344.2103,-0.4999999999999942,-0.539796019999983,2,bias_change,stop_loss,2.0,121593.19582086496
2022-04-21 10:45:00-04:00,2022-04-21 10:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,344.34,342.6183,-0.49999999999999956,-0.539796019999994,1,bias_change,stop_loss,2.0,120936.84058923314
2022-04-21 11:15:00-04:00,2022-04-21 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,343.525,334.22,2.7086820464303765,2.6676026819590914,19,bias_change,session_close,2.0,124162.95499226812
2022-04-22 12:00:00-04:00,2022-04-22 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,329.14,325.4,1.1362945858905054,1.0958441135079378,16,bias_change,session_close,2.0,125523.58742570839
2022-04-25 09:45:00-04:00,2022-04-25 09:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,323.12,324.7356,-0.49999999999999134,-0.539796019999983,1,bias_change,stop_loss,2.0,124846.01609662322
2022-04-25 10:00:00-04:00,2022-04-25 10:00:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,322.73,324.34364999999997,-0.49999999999998446,-0.539796019999994,1,stop_reentry,stop_loss,2.0,124172.1022706051
2022-04-25 10:45:00-04:00,2022-04-25 10:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,326.32,324.6884,-0.4999999999999975,-0.539796019999994,1,bias_change,stop_loss,2.0,123501.82620459805
2022-04-25 11:15:00-04:00,2022-04-25 12:15:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,324.25,325.87125,-0.4999999999999923,-0.5397960199999718,5,bias_change,stop_loss,2.0,122835.16826211834
2022-04-25 12:30:00-04:00,2022-04-25 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,324.97,329.62,1.430901313967436,1.3903330106779022,14,bias_change,session_close,2.0,124542.98615518832
2022-04-26 10:00:00-04:00,2022-04-26 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,323.21,316.91,1.9491971164258393,1.9084215155471762,24,bias_change,session_close,2.0,126919.79129907888
