winner_id,variant,entry_mode,timeframe_min,timeframe_label,layer_id,is_baseline_layer,start_offset_min,cutoff,trend_filter,cost_bps_per_side,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_00_cutoff_none_trend_ema10,False,0,none,ema10,0.0,0.5,4.25,222069.98486664094,122.06998486664094,17.525711186659755,11.052516834908943,1.5031933120853183,1.282809973752829,1196,515,43.06020066889632,583,613,1245,0.06941404362994118,11.214882943143813,168.2232441471572,37.911646586345384,6455,4597
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_30_cutoff_none_trend_none,False,30,none,none,0.0,0.5,4.25,221922.97278693167,121.92297278693167,17.509958961090422,9.194903684696321,1.47256013491113,1.2654379838047412,1285,542,42.17898832684825,646,639,1245,0.06475628084194014,10.912062256809339,163.68093385214007,39.58294717330862,6455,4597
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_60_cutoff_none_trend_none,False,60,none,none,0.0,1.25,3.5,220855.36045155145,120.85536045155143,17.395314788180706,16.22141926368501,1.2535130149202278,1.2319948195003707,1375,650,47.27272727272727,715,660,1245,0.06069048372936188,18.945454545454545,189.45454545454544,51.66718154669962,11816,7888
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_00_cutoff_none_trend_vwap,False,0,none,vwap,0.0,0.5,4.25,220049.87088226835,120.04987088226838,17.308525421869135,7.444590211859314,1.467978482843307,1.2856139208075674,1171,494,42.18616567036721,572,599,1245,0.07010041644767107,11.438087105038429,171.57130657557644,37.88693234476367,6455,4597
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_30_cutoff_1430_trend_none,False,30,14:30,none,0.0,0.5,4.25,213606.5879087997,113.6065879087997,16.60500199236321,8.107055929057905,1.431957358410755,1.272561134958769,1157,483,41.745894554883314,573,584,1245,0.06845735987303896,11.866897147796024,178.00345721694038,39.02069817732468,6455,4597
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_00_cutoff_1430_trend_ema10,False,0,14:30,ema10,0.0,0.5,4.25,213378.34852028667,113.37834852028665,16.579772444915598,8.485426118530548,1.4579941138302557,1.2887661676816091,1082,463,42.791127541589645,523,559,1245,0.07287981215165736,12.15988909426987,182.39833641404806,37.420451034908865,6455,4597
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_30_cutoff_1430_trend_vwap,False,30,14:30,vwap,0.0,1.25,3.5,213283.21279777656,113.28321279777657,16.569249800441277,9.757693865608486,1.1875422903220487,1.2099089944499444,1281,606,47.306791569086656,639,642,1245,0.06283369873463139,22.348946135831383,223.48946135831383,57.0054577283493,11816,7888
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_1430_trend_ema10,False,0,14:30,ema10,0.0,1.25,3.5,213087.366399607,113.08736639960699,16.547576093385196,11.58066537070349,1.1789773560396093,1.2026811528798416,1350,630,46.666666666666664,672,678,1245,0.059651093918374386,21.73185185185185,217.3185185185185,58.455359901143034,11816,7888
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_30_cutoff_none_trend_vwap,False,30,none,vwap,0.0,0.5,4.25,212951.90366517607,112.95190366517609,16.53257556001584,7.908789955578966,1.4267228625410207,1.2807052460167119,1144,480,41.95804195804196,554,590,1245,0.06882166025299577,11.352272727272727,170.2840909090909,36.713005869632376,6455,4597
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_00_cutoff_1430_trend_vwap,False,0,14:30,vwap,0.0,0.5,4.25,208237.53858542079,108.2375385854208,16.00572334570156,6.862376383820534,1.4023041880254776,1.2854476482876813,1060,444,41.88679245283019,514,546,1245,0.07206191712736641,12.374528301886793,185.6179245283019,37.343219029966015,6455,4597
