timeframe_min,timeframe_label,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count,bar_count
10,10m,0.75,1.0,186130.4319749047,86.13043197490471,13.400152717443902,15.09370404909387,1.0508947906007295,1.1291715128127806,2072,956,46.13899613899614,989,1083,1245,0.03189755513247366,13.150579150579151,131.5057915057915,52.98733395118938,1442,1702,48555
5,5m,0.75,1.5,185650.33867712322,85.65033867712322,13.340887446350113,16.466428586322102,0.897868689586085,1.0940697282379481,3399,1429,42.041776993233306,1655,1744,1245,0.01984182415102338,21.498087672844953,107.49043836422476,73.68654103593862,2932,3500,97110
15,15m,0.75,4.0,185174.2881991617,85.17428819916171,13.282000419907014,13.679299982414495,1.0620322122430932,1.175899909780516,1382,636,46.02026049204052,667,715,1245,0.04748679582970523,11.721418234442837,175.82127351664255,46.69138090824838,984,1195,32370
5,5m,1.0,1.5,184949.5720769419,84.94957207694189,13.254161272719234,17.400045443514433,0.8841449045472948,1.0934932666352442,3372,1430,42.408066429418746,1645,1727,1245,0.01994019203932082,22.09311981020166,110.4655990510083,75.3207702605293,2932,3500,97110
5,5m,0.75,4.0,184294.62826970406,84.29462826970406,13.1728688150069,16.235617737969,0.8973543899000599,1.0971938522415534,3287,1383,42.07484027989048,1612,1675,1245,0.020371628449006314,22.5892911469425,112.9464557347125,75.06744928431675,2932,3500,97110
15,15m,2.0,4.0,183891.27131657847,83.89127131657847,13.122688916323689,15.506585982586618,0.9948427711391157,1.1706267645915474,1351,649,48.038490007401926,657,694,1245,0.04849618813266777,12.791265729089563,191.86898593634345,50.704355885078776,984,1195,32370
15,15m,0.25,1.5,182177.8243143147,82.1778243143147,12.908542755760188,7.847411551645789,1.3547224816607015,1.2233093431231288,1628,477,29.299754299754298,767,861,1245,0.03817308439820654,6.184889434889435,92.77334152334151,26.30213160333642,984,1195,32370
5,5m,0.75,3.0,181970.35724925547,81.97035724925547,12.882504674962348,15.448199417124675,0.8822683968126073,1.0950267866484507,3293,1385,42.058912845429695,1614,1679,1245,0.019938982164379507,22.53628909808685,112.68144549043426,75.01596128102153,2932,3500,97110
5,5m,1.0,4.0,181816.38940232276,81.81638940232277,12.863165684128086,17.18618725246398,0.8707676099973591,1.0951906799692006,3259,1381,42.374961644676276,1602,1657,1245,0.020185977593503705,23.21540349800552,116.0770174900276,76.67799402739162,2932,3500,97110
15,15m,1.5,2.0,181573.7670602589,81.57376706025889,12.832664800661298,15.357921980952415,1.0236512933996602,1.1652998248013722,1379,665,48.223350253807105,666,713,1245,0.046277911609034085,12.409717186366933,186.14575779550398,50.030892801977146,984,1195,32370
