variant_id,base_strategy,removed_symbol,removal_kind,comparison_scope,baseline_slice,comparison_slice,baseline_total_return_pct,comparison_total_return_pct,return_delta_pct_points,baseline_final_equity,comparison_final_equity,final_equity_delta,baseline_non_extreme_expectancy,comparison_non_extreme_expectancy,non_extreme_expectancy_delta,baseline_top_symbol_share_pct,comparison_top_symbol_share_pct,top_symbol_share_delta_pct_points
csm_native,cross_sectional_momentum,AMZN,single,full,ex_tsla_full,ex_amzn_full,405.7754360762286,377.3051063434,-28.47032973282859,126443.85901905714,119326.27658584999,-7117.58243320715,106.50658046085769,95.36416530290603,-11.14241515795166,32.48540442149629,34.515995192762325,2.0305907712660343
csm_native,cross_sectional_momentum,GOOGL,single,full,ex_tsla_full,ex_googl_full,405.7754360762286,284.3588969539846,-121.41653912224399,126443.85901905714,96089.72423849614,-30354.134780561,106.50658046085769,74.6291049240235,-31.877475536834197,32.48540442149629,45.87336149200609,13.387957070509799
csm_native,cross_sectional_momentum,META,single,full,ex_tsla_full,ex_meta_full,405.7754360762286,299.3935428673815,-106.38189320884709,126443.85901905714,99848.38571684538,-26595.473302211758,106.50658046085769,79.65020857885095,-26.85637188200674,32.48540442149629,43.59642978312721,11.111025361630922
csm_native,cross_sectional_momentum,NFLX,single,full,ex_tsla_full,ex_nflx_full,405.7754360762286,273.27629103107387,-132.4991450451547,126443.85901905714,93319.07275776846,-33124.78626128868,106.50658046085769,72.41917381661297,-34.08740664424472,32.48540442149629,43.495646751120695,11.010242329624404
dse_control_native,down_streak_exhaustion,AAPL+META,pair,broad_participation,broad_participation_only,pair_aapl_meta_broad_participation_only,-0.806153982930069,0.03159324311527989,0.8377472260453489,24798.46150426748,25007.89831077882,209.43680651133764,0.0,0.0,0.0,100.0,100.0,0.0
dse_control_native,down_streak_exhaustion,META+NFLX,pair,broad_participation,broad_participation_only,pair_meta_nflx_broad_participation_only,-0.806153982930069,0.0,0.806153982930069,24798.46150426748,25000.0,201.53849573251864,0.0,0.0,0.0,100.0,0.0,-100.0
dse_control_native,down_streak_exhaustion,AAPL+META,pair,full,ex_tsla_full,pair_aapl_meta_full,9.314936742213153,-1.9857433348536402,-11.300680077066794,27328.73418555329,24503.56416628659,-2825.1700192667013,0.5755957171745768,-0.9014501325670847,-1.4770458497416614,53.831264985375896,100.0,46.168735014624104
dse_control_native,down_streak_exhaustion,META+NFLX,pair,full,ex_tsla_full,pair_meta_nflx_full,9.314936742213153,4.250650552418156,-5.064286189794997,27328.73418555329,26062.66263810454,-1266.0715474487515,0.5755957171745768,1.618521676291677,1.0429259591171003,53.831264985375896,56.31316292712481,2.4818979417489118
dse_control_native,down_streak_exhaustion,AAPL,single,broad_participation,broad_participation_only,ex_aapl_broad_participation_only,-0.806153982930069,-0.4341962323608062,0.37195775056926283,24798.46150426748,24891.4509419098,92.98943764231808,0.0,0.0,0.0,100.0,100.0,0.0
dse_control_native,down_streak_exhaustion,AMZN,single,broad_participation,broad_participation_only,ex_amzn_broad_participation_only,-0.806153982930069,0.0,0.806153982930069,24798.46150426748,25000.0,201.53849573251864,0.0,0.0,0.0,100.0,0.0,-100.0
