winner_id,variant,entry_mode,timeframe_min,timeframe_label,layer_id,is_baseline_layer,start_offset_min,cutoff,block_window,cost_bps_per_side,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_30_cutoff_1400_block_lunch_1130_1300,False,30,14:00,lunch_1130_1300,0.0,1.25,3.5,295501.8984157389,195.50189841573888,24.52195635767318,11.213143087100462,1.6769808458976836,1.335888489781329,1186,597,50.337268128161895,606,580,1245,0.09518740714049362,23.438448566610454,234.38448566610452,55.36813922356091
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_30_cutoff_1445_block_lunch_1130_1300,False,30,14:45,lunch_1130_1300,0.0,1.25,3.5,294259.7639218679,194.2597639218679,24.415832087458522,11.250289809189361,1.6753608183855242,1.3166991581444614,1266,628,49.60505529225908,650,616,1245,0.08895871283821866,22.263823064770932,222.63823064770932,56.08897126969416
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_30_cutoff_1415_block_lunch_1130_1300,False,30,14:15,lunch_1130_1300,0.0,1.25,3.5,293886.86245984165,193.88686245984164,24.383902770049648,11.213143087100475,1.6689829231029336,1.3327527002503008,1197,602,50.29239766081871,613,584,1245,0.09385384600836208,23.293233082706767,232.93233082706766,55.52672227371023
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_60_cutoff_none_block_lunch_1130_1300,False,60,none,lunch_1130_1300,0.0,1.25,3.5,293632.575994397,193.632575994397,24.362111208581915,15.880774324356107,1.7503053077046273,1.3570230209222265,1233,631,51.175993511759934,655,578,1245,0.09054464699289752,20.097323600973237,200.97323600973237,49.090721861806195
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_45_cutoff_1400_block_lunch_1130_1300,False,45,14:00,lunch_1130_1300,0.0,1.25,3.5,291177.42339941784,191.17742339941785,24.150934251340296,10.088967587705866,1.755464741308567,1.3790302991461028,1084,557,51.38376383763838,565,519,1245,0.10221399880795622,23.618081180811807,236.18081180811805,50.93399237977552
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_45_cutoff_1430_block_lunch_1130_1300,False,45,14:30,lunch_1130_1300,0.0,1.25,3.5,289635.2942829712,189.6352942829712,24.01756262774011,10.08896758770591,1.7657367241460353,1.3576491035224163,1146,582,50.78534031413613,600,546,1245,0.09632841559990962,22.61692844677138,226.1692844677138,51.523015137472974
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_45_cutoff_1500_block_lunch_1130_1300,False,45,15:00,lunch_1130_1300,0.0,1.25,3.5,287236.79148633743,187.23679148633744,23.80899728539474,10.088967587705922,1.6859588568097572,1.342213696317414,1202,604,50.249584026622294,631,571,1245,0.09121311607160078,21.729617304492514,217.29617304492513,51.88137164040778
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_45_cutoff_1445_block_lunch_1130_1300,False,45,14:45,lunch_1130_1300,0.0,1.25,3.5,284943.55278811156,184.94355278811153,23.6082823111321,10.088967587705866,1.7248243240494352,1.348538898277567,1163,587,50.47291487532244,609,554,1245,0.09352746503768482,22.340498710232158,223.40498710232157,51.63834826485429
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_none_block_lunch_1200_1330,False,0,none,lunch_1200_1330,0.0,1.25,3.5,284634.646213992,184.63464621399197,23.581146992972577,12.474735165427632,1.5597570819371545,1.2732770884358358,1459,699,47.909527073337905,741,718,1245,0.07520244383298974,20.31596984235778,203.15969842357782,58.94552569251365
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_15_cutoff_none_block_lunch_1130_1230,False,15,none,lunch_1130_1230,0.0,1.25,3.5,284621.5819559251,184.6215819559251,23.579998870152032,14.4984434886958,1.534205032840555,1.2715039072344834,1464,699,47.74590163934426,740,724,1245,0.07493805245017666,20.047131147540984,200.47131147540983,58.35650293481619
