strategy_id,family,cluster_dimension,cluster_value,trade_count,expectancy,payoff_ratio,win_rate,average_MFE,average_MAE,drawdown_contribution,profit_concentration,stability_across_subperiods,hotspot_score
ma_regime_continuation_rep_user_subset_5y,Breakout / Trend-Continuation Family,symbol,NFLX,22,129.96221605285606,1.533208965163874,0.6818181818181818,0.10130067109591802,-0.06342129689822305,1251.0321938061256,4110.200946968959,0.8,499.82094251057526
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,day_of_week,Friday,539,89.91250427074777,1.290650843634972,0.6586270871985158,0.10565984527958323,-0.065882718834479,32522.898793074353,80985.7385950074,0.6666666666666666,486.73948474242434
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,day_of_week,Tuesday,448,87.6848227822287,1.3484618155407706,0.640625,0.10738369490318307,-0.06958935319716766,27983.592425172756,67266.39303161121,0.6666666666666666,481.394772775844
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,day_of_week,Monday,421,86.09143820365588,1.371266360797116,0.6294536817102138,0.1072893674521431,-0.07053471309497546,27263.90688532488,63508.402369064,0.6666666666666666,475.7592196699511
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,day_of_week,Thursday,443,93.68368478727083,1.2222433361578282,0.6772009029345373,0.10984191604981794,-0.06799515471754114,26533.232554246264,68035.10491500724,0.6666666666666666,465.331918123321
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,symbol,NFLX,439,76.5084409688744,1.2396075328817808,0.6469248291571754,0.0896938871282742,-0.06062245441860806,26419.971866859974,60007.17745219584,0.8,461.81791342739837
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,day_of_week,Wednesday,541,85.29942901292665,1.2786856749127566,0.6469500924214417,0.1028291082685295,-0.0666898367800327,34357.51061354802,80504.50170954134,0.6666666666666666,457.754634949851
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,regime_bucket,market_uptrend,2097,87.45517669460597,1.3510204185378114,0.6375774916547449,0.10862629227982325,-0.06950141224985683,133209.55687693672,316603.0624055255,0.5,451.86356571892253
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,gap_bucket,1% to 3%,417,86.37711843209428,1.29317645920709,0.6306954436450839,0.12009273128631517,-0.07493526771356836,29805.50553629444,65824.76392247775,0.6666666666666666,449.44562894289
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,symbol,META,464,76.8977805999245,1.2461974876014186,0.6767241379310345,0.08205902400339529,-0.05708318460959577,22179.66102545597,57860.23122382094,0.75,441.44275879891717
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,trend_alignment,trend_aligned,2005,87.19072258472028,1.3055882799969303,0.6533665835411472,0.1031496879430035,-0.06699922611378377,119664.75077321785,294482.14955558203,0.5,432.7955680030242
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,day_of_week,Thursday,530,85.10861959294893,1.2087039067769527,0.6622641509433962,0.10381575020586233,-0.06740041988321363,32921.86660477817,78029.43498904111,0.6666666666666666,430.3278687655908
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,day_of_week,Tuesday,564,78.93341271488858,1.2792004752506478,0.6365248226950354,0.10113920568901465,-0.06882414063395811,35897.31558428158,80415.76035547873,0.6666666666666666,426.5598714903598
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,gap_bucket,-3% to -1%,275,116.63171963068783,1.2909637945741914,0.68,0.12728851828123508,-0.07811696621429542,18398.30122600731,50472.024124446456,0.5,423.12436847125736
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,vol_bucket,high_vol,982,99.06910525027199,1.2222322586617649,0.6456211812627292,0.13781921604323769,-0.0810480386541917,79306.29257145351,176592.15392722058,0.5,417.17627465816247
ma_regime_continuation_rep_user_subset_5y,Breakout / Trend-Continuation Family,symbol,META,32,79.9997462382614,1.4864397777637575,0.6875,0.07807433354253787,-0.05621068329305513,1127.6665123298258,3687.658391954191,1.0,415.78651492119764
pullback_in_trend_rep_user_subset_5y,Pullback in Trend Family,symbol,NFLX,274,99.89401655044058,1.2299848148582853,0.6496350364963503,0.1087003938950053,-0.0757248254667053,21373.596740017732,48744.55727483846,0.6,414.07327477865584
dse_exact_user_subset_5y,Down Streak Exhaustion,vol_bucket,high_vol,42,77.32230364177832,2.795729064315614,0.47619047619047616,0.08362916111874914,-0.04528501750983421,2106.6398538683493,5354.176606823038,0.5,406.5334736608079
