strategy_id,strategy_label,slice_name,scope_note,final_equity,total_return_pct,CAGR,max_drawdown_pct,Sharpe,profit_factor,expectancy,win_rate,average_win,average_loss,payoff_ratio,trade_count,percent_profitable_months,top_symbol,top_symbol_pnl_share_pct,top_10pct_days_pnl_share_pct,non_extreme_day_expectancy,reached_100k_from_25k
cross_sectional_momentum,Cross-sectional momentum,etf_only,native trades restricted to SPY / QQQ / IWM,26231.933830128586,4.927735320514337,0.9697697310300901,5.120250733064379,0.276361635360332,2.4504810458124986,34.22038417023853,72.22222222222221,80.04852303046376,-84.93277686634707,0.9424927099278841,36,8.19672131147541,QQQ,100.0,65.95572527928711,3.7475845977621445,False
down_streak_exhaustion,Down Streak Exhaustion,native_baseline,native full-signal baseline on the 9-symbol user subset,31116.040555460037,24.464162221840134,4.488718261199942,5.930546643874612,0.8090240930939258,1.812499845793933,26.476366040952552,50.21645021645021,117.61617684400647,-65.45596485604099,1.7968748471232956,231,47.540983606557376,META,27.023376445435616,67.4378184236806,6.177611985003104,False
down_streak_exhaustion,Down Streak Exhaustion,ex_nvda_full,native trades with NVDA removed ex post,29118.84069840179,16.47536279360715,3.1072020057758554,7.1092781616480245,0.5889615419205978,1.5731976387854538,19.428493860385817,48.58490566037736,109.75306664957907,-65.92408409637478,1.6648402196855774,212,39.34426229508197,META,36.64756838058927,71.41931037947947,2.725111552079087,False
down_streak_exhaustion,Down Streak Exhaustion,rising_market,entry day in SPY-tagged rising_market regime,29941.623200548667,19.76649280219467,3.6852457899629876,4.705229781510689,0.9113649193067067,2.3035683889148504,36.6046163003605,54.81481481481482,118.00630102758225,-62.14496845069538,1.8988874557271065,135,34.42622950819672,META,41.55860915846788,67.7263036259146,6.160813927608667,False
down_streak_exhaustion,Down Streak Exhaustion,rising_market_ex_nvda,entry day in rising_market regime with NVDA removed ex post,29014.724116125028,16.058896464500116,3.033127755963516,4.497810193214291,0.7692718088760633,2.1035783968351502,31.86288981051608,53.96825396825397,112.5388067014961,-62.722667923736346,1.794228632594687,126,29.508196721311474,META,49.658230442285074,69.52813764403949,4.630823310654478,False
down_streak_exhaustion,Down Streak Exhaustion,calmer,entry day in SPY-tagged calmer / low-vol regime,30529.313387777383,22.11725355110954,4.090400049969367,5.971783858551982,0.8280329172865786,1.9942413986392722,31.23905868800783,51.9774011299435,120.55056858083161,-65.42751672540143,1.8425056400471536,177,40.98360655737705,META,34.839445812286826,67.74254832479714,8.186269577558143,False
down_streak_exhaustion,Down Streak Exhaustion,calmer_ex_nvda,entry day in calmer / low-vol regime with NVDA removed ex post,29127.397550291862,16.509590201167445,3.1132803996063885,5.328865307337505,0.6556614533605338,1.782089342784168,25.477762656122618,50.617283950617285,114.69264139941836,-65.96748805575552,1.738623749057725,162,36.0655737704918,META,44.70684016058219,71.06052751730144,4.867414195350464,False
down_streak_exhaustion,Down Streak Exhaustion,strong_momentum_participation,entry day in rising_market with participation_score in the top quartile of rising-market days,26841.148636719554,7.3645945468782115,1.4359438028815674,4.036598996524066,0.5806273468239229,2.1131717431405708,34.73865352301046,49.056603773584904,134.42750058774507,-61.25801402080803,2.1944475794152085,53,13.114754098360656,TSLA,60.681446708844,65.85403335560056,5.975996634640174,False
down_streak_exhaustion,Down Streak Exhaustion,strong_momentum_participation_ex_nvda,strong momentum participation entry day with NVDA removed ex post,26510.21307139771,6.040852285590836,1.183772371118308,4.654868934582057,0.4820982219486984,1.9130857138165613,29.612021007798223,47.05882352941176,131.84081041498027,-61.25801402080803,2.1522214280436316,51,8.19672131147541,TSLA,71.11060685175036,67.44403009208364,5.553856592953095,False
down_streak_exhaustion,Down Streak Exhaustion,megacap_ex_nvda,native trades restricted to mega-cap tech ex-NVDA symbols present in the user subset,28164.35175734664,12.657407029386558,2.4200346005464723,6.975565059701938,0.502640413688902,1.5363176185356797,22.442211045011653,44.680851063829785,143.88090215127974,-75.64288561774333,1.9021075277108415,141,31.147540983606557,META,44.16464095299047,72.04689897938555,1.298572707899326,False
down_streak_exhaustion,Down Streak Exhaustion,megacap_ex_nvda_supportive,mega-cap tech ex-NVDA trades restricted to rising_market entry days,27996.667881236903,11.986671524947612,2.2973971016732264,3.0859332174440257,0.6203507476936742,2.012741314828672,36.104432304059095,48.19277108433735,148.89086588725726,-68.81318033147411,2.1636969134408224,83,22.950819672131146,META,63.183530649419275,72.58658831591141,3.8701917943123094,False
