entry_time,exit_time,mode,side,entry_price,exit_price,gross_price_return_pct,net_trade_return_pct,bars_held,entry_reason,exit_reason,cost_bps_per_side,equity_after_trade
2021-06-16 15:00:00-04:00,2021-06-16 15:30:00-04:00,active,short,339.55,341.4299,-0.5536445295243598,-0.5934190938583273,1,bearish_fvg_active,reverse_open,2.0,90931.60127117118
2021-06-16 15:30:00-04:00,2021-06-16 15:30:00-04:00,active,long,341.4299,340.94,-0.14348479731856448,-0.18342340913901634,1,bullish_fvg_active,session_close,2.0,90764.8114281349
2021-06-17 10:00:00-04:00,2021-06-17 13:00:00-04:00,active,long,342.18,344.15,0.5757203810859696,0.535494115962365,6,bullish_fvg_active,reverse_open,2.0,91250.8516526969
2021-06-17 13:00:00-04:00,2021-06-17 13:30:00-04:00,active,short,344.15,345.55,-0.40679936074387163,-0.44663265727153956,1,bearish_fvg_active,reverse_open,2.0,90843.29554917755
2021-06-17 13:30:00-04:00,2021-06-17 15:30:00-04:00,active,long,345.55,345.34,-0.06077268123282777,-0.10074437459124397,5,bullish_fvg_active,session_close,2.0,90751.77603921846
2021-06-18 10:00:00-04:00,2021-06-18 12:00:00-04:00,active,long,343.96,342.88,-0.31398999883706946,-0.35386041539712254,4,bullish_fvg_active,reverse_open,2.0,90430.64142754581
2021-06-18 12:00:00-04:00,2021-06-18 12:30:00-04:00,active,short,342.88,343.783,-0.26335744283715,-0.3032481103943052,1,bearish_fvg_active,reverse_open,2.0,90156.41221619933
2021-06-18 12:30:00-04:00,2021-06-18 15:30:00-04:00,active,long,343.783,342.61,-0.3412036080899875,-0.3810631402948905,7,bullish_fvg_active,session_close,2.0,89812.85936063108
2021-06-21 10:00:00-04:00,2021-06-21 15:30:00-04:00,active,long,342.6,344.3,0.4962054874489166,0.4560110251021543,12,bullish_fvg_active,session_close,2.0,90222.41590127505
2021-06-22 10:00:00-04:00,2021-06-22 15:30:00-04:00,active,long,344.73,347.52,0.809329040118343,0.7690093408754484,12,bullish_fvg_active,session_close,2.0,90916.23470711935
2021-06-23 10:00:00-04:00,2021-06-23 15:30:00-04:00,active,long,348.69,347.66,-0.29539132180446037,-0.3352691770914018,12,bullish_fvg_active,session_close,2.0,90611.4205951743
2021-06-24 10:00:00-04:00,2021-06-24 15:30:00-04:00,active,long,350.42,349.85,-0.1626619485189182,-0.20259289024598948,12,bullish_fvg_active,session_close,2.0,90427.84829929759
2021-06-25 10:00:00-04:00,2021-06-25 15:30:00-04:00,active,long,349.53,349.47,-0.01716590850569205,-0.05715504282890471,12,bullish_fvg_active,session_close,2.0,90376.16422387287
2021-06-28 10:00:00-04:00,2021-06-28 15:30:00-04:00,active,long,352.18,353.68,0.4259185643704924,0.38575221398147175,12,bullish_fvg_active,session_close,2.0,90724.792278278
2021-06-29 10:00:00-04:00,2021-06-29 15:30:00-04:00,active,long,353.74,354.96,0.34488607451799924,0.30475213388363454,12,bullish_fvg_active,session_close,2.0,91001.27801870754
2021-06-30 10:00:00-04:00,2021-06-30 15:30:00-04:00,active,long,354.25,354.43,0.050811573747355496,0.010795251150330643,12,bullish_fvg_active,session_close,2.0,91011.10183521967
2021-07-01 10:00:00-04:00,2021-07-01 15:30:00-04:00,active,long,354.47,354.59,0.033853358535263264,-0.00615618145400898,12,bullish_fvg_active,session_close,2.0,91005.4990266474
2021-07-02 10:00:00-04:00,2021-07-02 15:30:00-04:00,active,long,357.135,358.65,0.42420933260531346,0.38404366584066096,12,bullish_fvg_active,session_close,2.0,91354.99988122593
2021-07-06 10:00:00-04:00,2021-07-06 15:30:00-04:00,active,long,359.64,360.16,0.14458903347793312,0.10453520364810398,12,bullish_fvg_active,session_close,2.0,91450.4980163945
2021-07-07 10:00:00-04:00,2021-07-07 15:30:00-04:00,active,long,361.605,360.83,-0.21432225771215388,-0.25423253738195983,12,bullish_fvg_active,session_close,2.0,91218.00109483898
2021-07-08 10:00:00-04:00,2021-07-08 15:30:00-04:00,active,long,356.77,358.86,0.5858115872971472,0.5455812860947207,12,bullish_fvg_active,session_close,2.0,91715.66943836209
2021-07-09 10:00:00-04:00,2021-07-09 15:30:00-04:00,active,long,358.64,361.0,0.6580414900736153,0.6177822997992521,12,bullish_fvg_active,session_close,2.0,92282.27261029469
2021-07-12 10:00:00-04:00,2021-07-12 15:30:00-04:00,active,long,361.48,362.41,0.2572756445723157,0.2171767446055073,12,bullish_fvg_active,session_close,2.0,92482.6882457977
2021-07-13 10:00:00-04:00,2021-07-13 14:00:00-04:00,active,long,363.51,362.81,-0.19256691700365566,-0.23248589793952723,8,bullish_fvg_active,reverse_open,2.0,92267.67903759085
2021-07-13 14:00:00-04:00,2021-07-13 14:30:00-04:00,active,short,362.81,363.2908,-0.13252115432319614,-0.1724641511623215,1,bearish_fvg_active,reverse_open,2.0,92108.55036814148
2021-07-13 14:30:00-04:00,2021-07-13 15:30:00-04:00,active,long,363.2908,362.34,-0.26171871129134433,-0.3016100342755679,3,bullish_fvg_active,session_close,2.0,91830.74173780541
2021-07-14 10:00:00-04:00,2021-07-14 12:00:00-04:00,active,long,364.27,362.2902,-0.5434979548137246,-0.5832765773717052,4,bullish_fvg_active,reverse_open,2.0,91295.11453042208
2021-07-14 12:00:00-04:00,2021-07-14 12:30:00-04:00,active,short,362.2902,363.72,-0.39465599676723245,-0.4344941501547628,1,bearish_fvg_active,reverse_open,2.0,90898.44259841031
2021-07-14 12:30:00-04:00,2021-07-14 15:30:00-04:00,active,long,363.72,362.98,-0.2034532057626771,-0.2433678326184907,7,bullish_fvg_active,session_close,2.0,90677.2250287746
2021-07-15 10:00:00-04:00,2021-07-15 15:30:00-04:00,active,long,362.98,360.42,-0.7052730177971244,-0.7449869368009288,12,bullish_fvg_active,session_close,2.0,90001.69154765665
2021-07-16 10:00:00-04:00,2021-07-16 11:00:00-04:00,active,long,361.1,359.81,-0.35724176128496826,-0.39709487887010786,2,bullish_fvg_active,reverse_open,2.0,89644.29943962443
2021-07-16 11:00:00-04:00,2021-07-16 15:30:00-04:00,active,short,359.81,357.6,0.6142130568911313,0.5739713962369164,10,bearish_fvg_active,session_close,2.0,90158.83207676484
2021-07-19 10:00:00-04:00,2021-07-19 15:30:00-04:00,active,short,352.96,354.68,-0.48730734360834865,-0.5271084401632042,12,bearish_fvg_active,session_close,2.0,89683.59726333564
2021-07-20 10:00:00-04:00,2021-07-20 15:30:00-04:00,active,long,355.51,358.74,0.9085539084695279,0.868194523248289,12,bullish_fvg_active,session_close,2.0,90462.22534302798
2021-07-21 10:00:00-04:00,2021-07-21 15:30:00-04:00,active,long,359.67,361.46,0.49767842744737223,0.45748337598352506,12,bullish_fvg_active,session_close,2.0,90876.07498551709
2021-07-22 10:00:00-04:00,2021-07-22 15:30:00-04:00,active,long,362.6705,363.93,0.34728493219051526,0.30715003210906033,12,bullish_fvg_active,session_close,2.0,91155.20087901455
2021-07-23 10:00:00-04:00,2021-07-23 15:30:00-04:00,active,long,365.08,368.07,0.8189985756546536,0.7786750089843419,12,bullish_fvg_active,session_close,2.0,91865.00364764892
2021-07-26 10:00:00-04:00,2021-07-26 15:30:00-04:00,active,long,368.05,368.47,0.11411493003668412,0.07407328862927276,12,bullish_fvg_active,session_close,2.0,91933.05107695013
2021-07-27 10:00:00-04:00,2021-07-27 10:30:00-04:00,active,long,366.65,365.3,-0.3681985544797398,-0.40804728978588445,1,bullish_fvg_active,reverse_open,2.0,91557.92075361316
2021-07-27 10:30:00-04:00,2021-07-27 15:00:00-04:00,active,short,365.3,363.71,0.4352586914864582,0.39508860542023516,9,bearish_fvg_active,reverse_open,2.0,91919.65566587036
