variant,selector,persistence,timeframe_min,timeframe_label,cost_bps_per_side,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count,bullish_event_count,bearish_event_count,bar_count
active_uncontested_carry,uncontested,carry,15,15m,0.0,1.0,1.0,87596.38687355348,-12.403613126446523,-2.6449125738999935,21.118521398106093,-0.3590109795741186,0.92915172195658,629,315,50.07949125596184,549,80,1245,-0.019058145628060776,18.527821939586644,277.91732909379965,34.06858202038925,10951,451,984,1195,32370
active_nearest_mid_carry,nearest_mid,carry,30,30m,0.0,0.25,0.5,87577.34032369919,-12.422659676300817,-2.649197641002121,34.43056334488765,-0.1605782868004323,0.9894843793603015,6459,2465,38.1638024461991,4298,2161,1245,-0.001543055038445802,2.3006657377302986,69.01997213190896,54.99536607970343,11695,4405,480,609,16185
active_uncontested_session_reset,uncontested,session_reset,60,60m,0.0,0.25,0.25,87530.30267677939,-12.469697323220608,-2.6597832927730436,15.475191346884376,-0.6963038911127195,0.9065220406845289,1120,534,47.67857142857143,556,564,1245,-0.011600465453303066,1.269642857142857,76.17857142857143,3.4652897303499715,961,759,268,328,8715
active_uncontested_carry,uncontested,carry,60,60m,0.0,1.5,4.0,87495.98319314646,-12.504016806853546,-2.667509631264786,20.832856313943516,-0.37243423414094334,0.9105982493122141,551,295,53.53901996370236,500,51,1245,-0.022210861552217954,5.664246823956443,339.85480943738656,29.48938611589214,3211,233,268,328,8715
active_uncontested_carry,uncontested,carry,15,15m,0.0,1.0,0.5,87434.05635740179,-12.56594364259821,-2.6814573253978957,20.510993696954493,-0.36459346393722625,0.938480811591784,860,488,56.74418604651162,733,127,1245,-0.014188587695962998,13.429069767441861,201.43604651162792,33.03058387395737,10951,451,984,1195,32370
active_dominant_count_carry,dominant_count,carry,10,10m,0.0,0.25,4.0,87426.55440381703,-12.573445596182964,-2.683147514871387,34.77066974796254,-0.08259521810399022,0.9910320273537407,4290,1055,24.592074592074592,2899,1391,1245,-0.0016561495059793049,10.914685314685315,109.14685314685315,87.6058078467717,35973,11992,1442,1702,48555
active_dominant_count_carry,dominant_count,carry,15,15m,0.0,2.0,0.25,87420.33576281379,-12.579664237186206,-2.6845486618241043,32.54704430522087,-0.08914983198994181,0.989635911646778,4113,3079,74.86019936785802,2764,1349,1245,-0.0018794940348864828,7.37345003646973,110.60175054704595,81.05962310781588,24479,6709,984,1195,32370
active_uncontested_carry,uncontested,carry,60,60m,0.0,0.5,3.0,87397.71652837949,-12.602283471620513,-2.6896457628246107,18.804606515181067,-0.430814966745374,0.9254594107928431,776,360,46.391752577319586,685,91,1245,-0.01609699673587852,3.9033505154639174,234.20103092783503,25.85197934595525,3211,233,268,328,8715
active_uncontested_carry,uncontested,carry,60,60m,0.0,1.0,1.0,87380.44861952716,-12.619551380472839,-2.693537684816505,18.791680532884236,-0.3948377717649006,0.9201015287859279,631,329,52.139461172741676,539,92,1245,-0.019662201724266616,4.890649762282092,293.43898573692553,28.16982214572576,3211,233,268,328,8715
active_nearest_mid_carry,nearest_mid,carry,30,30m,0.0,1.5,0.75,87365.50717877159,-12.634492821228417,-2.6969057516213812,33.45068103417576,-0.10984936278845499,0.9890397721627888,2942,1596,54.24881033310673,1866,1076,1245,-0.002708109756878124,5.054044867437118,151.62134602311355,80.2224281742354,11695,4405,480,609,16185
active_uncontested_carry,uncontested,carry,60,60m,0.0,1.5,3.0,87317.38175257207,-12.682618247427936,-2.7077572035827724,20.944862108021166,-0.3747464804729818,0.9113666294116375,554,296,53.42960288808665,500,54,1245,-0.022357629917514863,5.633574007220217,338.014440433213,29.454962707974758,3211,233,268,328,8715
active_dominant_count_session_reset,dominant_count,session_reset,60,60m,0.0,0.25,0.25,87311.47692008769,-12.688523079912306,-2.709088969798956,15.475191346884232,-0.709437858478463,0.9048944181161647,1121,534,47.63603925066904,556,565,1245,-0.011813132299464254,1.2694023193577164,76.16413916146298,3.4652897303499715,961,760,268,328,8715
active_uncontested_carry,uncontested,carry,60,60m,0.0,0.5,4.0,87284.85623908101,-12.71514376091899,-2.7150938465568597,19.79813097097184,-0.4334773066083215,0.9235529483974609,771,359,46.56290531776913,685,86,1245,-0.016417450234167904,3.928664072632944,235.71984435797665,25.909351692484222,3211,233,268,328,8715
