timeframe_minutes,family,domcycle,leveling,entry_buffer,exit_ratio,side,entry_time,exit_time,entry_price,exit_price,holding_bars,trade_return_pct,pnl_dollars_on_25k
2,breakout,60,5.0,4.0,0.5,long,2021-06-04 10:07:00-04:00,2021-06-04 10:29:00-04:00,334.78,334.63,11,-0.08480554393929692,-21.20138598482423
2,breakout,60,5.0,4.0,0.5,long,2021-06-08 09:37:00-04:00,2021-06-08 10:29:00-04:00,338.57,337.14,26,-0.4623646513276447,-115.59116283191118
2,breakout,60,5.0,4.0,0.5,long,2021-06-15 09:37:00-04:00,2021-06-15 10:07:00-04:00,343.23,343.3,15,-0.01960551233866511,-4.901378084666278
2,breakout,60,5.0,4.0,0.5,short,2021-06-16 09:37:00-04:00,2021-06-16 10:29:00-04:00,342.61,343.52,26,-0.30560812585738617,-76.40203146434654
2,breakout,60,5.0,4.0,0.5,short,2021-06-21 09:37:00-04:00,2021-06-21 09:59:00-04:00,340.3599,342.58,11,-0.6922801305324233,-173.07003263310582
2,breakout,60,5.0,4.0,0.5,long,2021-06-22 09:37:00-04:00,2021-06-22 10:29:00-04:00,345.4201,345.3172,26,-0.06978981246313239,-17.447453115783098
2,breakout,60,5.0,4.0,0.5,long,2021-06-23 09:33:00-04:00,2021-06-23 10:29:00-04:00,348.3,348.56,28,0.034648291702561486,8.662072925640372
2,breakout,60,5.0,4.0,0.5,short,2021-07-01 10:21:00-04:00,2021-07-01 10:29:00-04:00,353.8228,354.2,4,-0.14660703606437672,-36.651759016094175
2,breakout,60,5.0,4.0,0.5,long,2021-07-06 09:37:00-04:00,2021-07-06 10:29:00-04:00,359.93,359.94,26,-0.037221681993719856,-9.305420498429964
2,breakout,60,5.0,4.0,0.5,short,2021-07-15 09:33:00-04:00,2021-07-15 10:29:00-04:00,362.0,360.82,28,0.2859668508287294,71.49171270718236
2,breakout,60,5.0,4.0,0.5,long,2021-07-22 09:33:00-04:00,2021-07-22 10:29:00-04:00,362.47,363.331,28,0.19753689960548385,49.384224901370956
2,breakout,60,5.0,4.0,0.5,short,2021-07-27 09:43:00-04:00,2021-07-27 10:29:00-04:00,367.13,365.3,23,0.4584610356004615,114.61525890011538
2,breakout,60,5.0,4.0,0.5,short,2021-07-28 09:43:00-04:00,2021-07-28 10:19:00-04:00,363.47,366.96,18,-1.0001892865986006,-250.04732164965014
2,breakout,60,5.0,4.0,0.5,long,2021-08-04 09:37:00-04:00,2021-08-04 10:29:00-04:00,367.02,366.13,26,-0.2824935970791742,-70.62339926979355
2,breakout,60,5.0,4.0,0.5,short,2021-08-11 09:41:00-04:00,2021-08-11 10:29:00-04:00,367.46,366.82,24,0.13416861699232066,33.542154248080166
2,breakout,60,5.0,4.0,0.5,short,2021-08-12 09:35:00-04:00,2021-08-12 10:19:00-04:00,365.09,365.92,22,-0.2673412035388667,-66.83530088471667
2,breakout,60,5.0,4.0,0.5,long,2021-08-13 10:21:00-04:00,2021-08-13 10:29:00-04:00,369.1001,368.5199,4,-0.19719312999372682,-49.29828249843171
2,breakout,60,5.0,4.0,0.5,short,2021-08-19 09:37:00-04:00,2021-08-19 10:19:00-04:00,360.75,362.48,21,-0.5195564795564867,-129.88911988912164
2,breakout,60,5.0,4.0,0.5,long,2021-08-20 09:35:00-04:00,2021-08-20 10:29:00-04:00,365.42,367.45,27,0.5155251491434543,128.88128728586358
2,breakout,60,5.0,4.0,0.5,long,2021-08-23 09:35:00-04:00,2021-08-23 10:29:00-04:00,369.54,371.6,27,0.5174498024571106,129.36245061427766
2,breakout,60,5.0,4.0,0.5,short,2021-08-26 09:33:00-04:00,2021-08-26 10:29:00-04:00,374.3,372.945,28,0.3220090836227718,80.50227090569295
2,breakout,60,5.0,4.0,0.5,short,2021-09-02 10:05:00-04:00,2021-09-02 10:29:00-04:00,381.28,381.15,12,-0.00590432228283918,-1.476080570709795
2,breakout,60,5.0,4.0,0.5,short,2021-09-03 09:33:00-04:00,2021-09-03 10:29:00-04:00,379.75,380.93,28,-0.350730743910459,-87.68268597761474
2,breakout,60,5.0,4.0,0.5,short,2021-09-10 10:07:00-04:00,2021-09-10 10:29:00-04:00,380.65,380.54,11,-0.011102062261929524,-2.775515565482381
2,breakout,60,5.0,4.0,0.5,short,2021-09-13 09:33:00-04:00,2021-09-13 10:29:00-04:00,379.075,375.2409,28,0.9714357317153489,242.85893292883722
2,breakout,60,5.0,4.0,0.5,long,2021-09-16 09:35:00-04:00,2021-09-16 10:29:00-04:00,377.16,375.67,27,-0.43505780040300923,-108.7644501007523
2,breakout,60,5.0,4.0,0.5,short,2021-09-20 09:33:00-04:00,2021-09-20 10:29:00-04:00,368.5329,366.5121,28,0.5083363900482207,127.08409751205518
2,breakout,60,5.0,4.0,0.5,short,2021-09-28 09:37:00-04:00,2021-09-28 10:29:00-04:00,365.3,362.58,26,0.7045934848070101,176.14837120175252
2,breakout,60,5.0,4.0,0.5,long,2021-10-06 10:27:00-04:00,2021-10-06 10:29:00-04:00,357.2489,357.08,1,-0.08727796222745439,-21.8194905568636
2,breakout,60,5.0,4.0,0.5,short,2021-10-12 09:47:00-04:00,2021-10-12 10:29:00-04:00,357.82,358.1791,21,-0.1403577217595364,-35.0894304398841
2,breakout,60,5.0,4.0,0.5,long,2021-10-14 09:35:00-04:00,2021-10-14 10:29:00-04:00,363.4,364.98,27,0.39478260869567183,98.69565217391796
2,breakout,60,5.0,4.0,0.5,long,2021-10-15 09:37:00-04:00,2021-10-15 10:29:00-04:00,367.54,366.9369,26,-0.20409098329435157,-51.0227458235879
2,breakout,60,5.0,4.0,0.5,long,2021-10-19 09:35:00-04:00,2021-10-19 10:23:00-04:00,373.13,374.07,24,0.21192292230589163,52.98073057647291
2,breakout,60,5.0,4.0,0.5,short,2021-10-21 09:33:00-04:00,2021-10-21 10:29:00-04:00,374.28,376.12,28,-0.5316105589398479,-132.90263973496195
2,breakout,60,5.0,4.0,0.5,short,2021-10-25 09:39:00-04:00,2021-10-25 10:29:00-04:00,374.4,375.8,25,-0.41393162393162264,-103.48290598290565
2,breakout,60,5.0,4.0,0.5,long,2021-11-04 09:35:00-04:00,2021-11-04 10:29:00-04:00,394.3699,397.26,27,0.6928399048710299,173.20997621775746
2,breakout,60,5.0,4.0,0.5,long,2021-11-05 09:35:00-04:00,2021-11-05 10:25:00-04:00,400.605,400.51,25,-0.0637141323747858,-15.928533093696453
2,breakout,60,5.0,4.0,0.5,short,2021-11-08 09:53:00-05:00,2021-11-08 10:29:00-05:00,398.06,398.315,18,-0.10406069436768468,-26.015173591921172
2,breakout,60,5.0,4.0,0.5,short,2021-11-09 09:53:00-05:00,2021-11-09 10:29:00-05:00,397.16,395.94,18,0.2671809849934603,66.79524624836509
2,breakout,60,5.0,4.0,0.5,short,2021-11-10 09:37:00-05:00,2021-11-10 10:29:00-05:00,392.07,394.42,26,-0.6393827632820637,-159.84569082051593
2,breakout,60,5.0,4.0,0.5,long,2021-11-15 09:33:00-05:00,2021-11-15 10:29:00-05:00,395.93,394.125,28,-0.495888667188642,-123.9721667971605
2,breakout,60,5.0,4.0,0.5,long,2021-11-19 09:39:00-05:00,2021-11-19 10:29:00-05:00,403.59,403.3601,25,-0.09696375034068834,-24.240937585172087
2,breakout,60,5.0,4.0,0.5,short,2021-11-23 09:33:00-05:00,2021-11-23 10:29:00-05:00,397.42,395.93,28,0.33491822253535863,83.72955563383967
2,breakout,60,5.0,4.0,0.5,short,2021-12-02 09:35:00-05:00,2021-12-02 10:29:00-05:00,386.94,387.93,27,-0.2958536207163842,-73.96340517909604
2,breakout,60,5.0,4.0,0.5,long,2021-12-07 09:33:00-05:00,2021-12-07 10:29:00-05:00,393.78,395.7881,28,0.4699547970948359,117.48869927370897
2,breakout,60,5.0,4.0,0.5,long,2021-12-16 09:33:00-05:00,2021-12-16 10:29:00-05:00,397.19,394.3971,28,-0.7431647322440105,-185.7911830610026
2,breakout,60,5.0,4.0,0.5,long,2021-12-23 09:37:00-05:00,2021-12-23 10:29:00-05:00,395.07,396.2499,26,0.2586559343913786,64.66398359784465
2,breakout,60,5.0,4.0,0.5,long,2021-12-27 09:35:00-05:00,2021-12-27 10:29:00-05:00,400.259,402.08,27,0.4149554163678859,103.73885409197148
2,breakout,60,5.0,4.0,0.5,short,2021-12-29 09:47:00-05:00,2021-12-29 10:29:00-05:00,401.54,400.27,21,0.2762823130945957,69.07057827364893
2,breakout,60,5.0,4.0,0.5,short,2022-01-05 09:35:00-05:00,2022-01-05 10:29:00-05:00,392.92,394.6918,27,-0.4909314873256676,-122.7328718314169
2,breakout,60,5.0,4.0,0.5,short,2022-01-06 09:33:00-05:00,2022-01-06 10:29:00-05:00,384.21,383.92,28,0.035479555451440915,8.869888862860229
2,breakout,60,5.0,4.0,0.5,long,2022-01-11 09:35:00-05:00,2022-01-11 10:29:00-05:00,379.295,380.33,27,0.23287467538459342,58.218668846148354
2,breakout,60,5.0,4.0,0.5,long,2022-01-12 09:33:00-05:00,2022-01-12 10:29:00-05:00,389.66,389.38,28,-0.111857516809537,-27.96437920238425
2,breakout,60,5.0,4.0,0.5,short,2022-01-21 09:35:00-05:00,2022-01-21 10:29:00-05:00,360.435,356.61,27,1.0212176952848662,255.30442382121657
2,breakout,60,5.0,4.0,0.5,long,2022-01-31 09:35:00-05:00,2022-01-31 10:29:00-05:00,354.22,357.45,27,0.871862684207554,217.96567105188848
2,breakout,60,5.0,4.0,0.5,short,2022-02-04 09:35:00-05:00,2022-02-04 10:29:00-05:00,352.319,355.1,27,-0.8293414774678752,-207.33536936696882
2,breakout,60,5.0,4.0,0.5,long,2022-02-09 09:35:00-05:00,2022-02-09 10:29:00-05:00,363.31,363.32,27,-0.03724752965786223,-9.311882414465558
2,breakout,60,5.0,4.0,0.5,short,2022-02-14 09:33:00-05:00,2022-02-14 10:29:00-05:00,345.95,348.03,28,-0.6412429541841336,-160.31073854603338
2,breakout,60,5.0,4.0,0.5,short,2022-02-18 09:37:00-05:00,2022-02-18 10:29:00-05:00,344.91,343.79,26,0.2847223913484642,71.18059783711605
2,breakout,60,5.0,4.0,0.5,short,2022-02-24 09:35:00-05:00,2022-02-24 10:11:00-05:00,322.06,325.83,18,-1.2105893311805271,-302.6473327951318
2,breakout,60,5.0,4.0,0.5,long,2022-02-25 09:33:00-05:00,2022-02-25 10:29:00-05:00,340.845,341.26,28,0.08175622350334426,20.439055875836065
2,breakout,60,5.0,4.0,0.5,short,2022-03-04 09:37:00-05:00,2022-03-04 10:29:00-05:00,340.78,337.25,26,0.995858911907972,248.964727976993
2,breakout,60,5.0,4.0,0.5,long,2022-03-16 09:33:00-04:00,2022-03-16 10:29:00-04:00,332.3,337.11,28,1.407487210352083,351.8718025880208
2,breakout,60,5.0,4.0,0.5,long,2022-03-21 09:37:00-04:00,2022-03-21 10:05:00-04:00,351.2,348.19,14,-0.897061503416856,-224.265375854214
2,breakout,60,5.0,4.0,0.5,short,2022-03-24 09:37:00-04:00,2022-03-24 10:29:00-04:00,352.905,352.07,26,0.19660758561084848,49.15189640271212
2,breakout,60,5.0,4.0,0.5,long,2022-03-29 09:35:00-04:00,2022-03-29 10:13:00-04:00,370.13,366.77,19,-0.9477891551617089,-236.94728879042722
2,breakout,60,5.0,4.0,0.5,short,2022-03-31 09:33:00-04:00,2022-03-31 10:29:00-04:00,366.17,365.7,28,0.08835568178715118,22.088920446787796
2,breakout,60,5.0,4.0,0.5,short,2022-04-01 09:37:00-04:00,2022-04-01 10:29:00-04:00,362.9,361.405,26,0.3719592174152697,92.98980435381743
2,breakout,60,5.0,4.0,0.5,short,2022-04-06 09:35:00-04:00,2022-04-06 10:29:00-04:00,355.15,352.18,27,0.7962663663240789,199.0665915810197
2,breakout,60,5.0,4.0,0.5,long,2022-04-12 09:51:00-04:00,2022-04-12 10:29:00-04:00,346.6552,345.56,19,-0.35593352703204184,-88.98338175801045
2,breakout,60,5.0,4.0,0.5,long,2022-04-14 09:35:00-04:00,2022-04-14 10:29:00-04:00,346.08,342.53,27,-1.0657743874248715,-266.4435968562179
