timeframe_minutes,family,domcycle,leveling,entry_buffer,exit_ratio,side,entry_time,exit_time,entry_price,exit_price,holding_bars,trade_return_pct,pnl_dollars_on_25k
5,breakout,40,5.0,4.0,1.0,long,2023-11-20 09:49:00-05:00,2023-11-20 15:59:00-05:00,387.74,390.74,74,0.733714344663956,183.428586165989
5,breakout,40,5.0,4.0,1.0,short,2023-11-21 10:34:00-05:00,2023-11-21 15:59:00-05:00,386.9,388.43,65,-0.43545102093565546,-108.86275523391386
5,breakout,40,5.0,4.0,1.0,short,2023-11-22 14:39:00-05:00,2023-11-22 15:59:00-05:00,389.3701,390.04,16,-0.21204710890745823,-53.01177722686456
5,breakout,40,5.0,4.0,1.0,short,2023-11-27 09:39:00-05:00,2023-11-27 12:09:00-05:00,389.0601,390.52,30,-0.4152376560844928,-103.8094140211232
5,breakout,40,5.0,4.0,1.0,long,2023-11-27 13:14:00-05:00,2023-11-27 14:44:00-05:00,391.13,389.26,18,-0.5181019098509476,-129.5254774627369
5,breakout,40,5.0,4.0,1.0,short,2023-11-27 14:54:00-05:00,2023-11-27 15:59:00-05:00,389.26,389.14,13,-0.009172275599860192,-2.2930688999650477
5,breakout,40,5.0,4.0,1.0,short,2023-11-28 09:54:00-05:00,2023-11-28 11:39:00-05:00,388.087,390.6501,21,-0.7004446941020914,-175.11117352552284
5,breakout,40,5.0,4.0,1.0,short,2023-11-29 15:29:00-05:00,2023-11-29 15:59:00-05:00,389.66,389.75,6,-0.063097058974475,-15.774264743618751
5,breakout,40,5.0,4.0,1.0,long,2023-11-30 14:49:00-05:00,2023-11-30 15:59:00-05:00,387.5,388.83,14,0.303225806451608,75.80645161290201
5,breakout,40,5.0,4.0,1.0,long,2023-12-04 15:49:00-05:00,2023-12-04 15:59:00-05:00,386.1,386.27,2,0.0040300440300411805,1.007511007510295
5,breakout,40,5.0,4.0,1.0,short,2023-12-06 11:44:00-05:00,2023-12-06 15:59:00-05:00,386.3493,385.015,51,0.3053610502206272,76.34026255515681
5,breakout,40,5.0,4.0,1.0,long,2023-12-07 10:29:00-05:00,2023-12-07 15:59:00-05:00,389.48,390.57,66,0.23986032658928738,59.965081647321846
5,breakout,40,5.0,4.0,1.0,long,2023-12-11 09:54:00-05:00,2023-12-11 15:59:00-05:00,393.4987,395.53,73,0.47621517428137583,119.05379357034396
5,breakout,40,5.0,4.0,1.0,short,2023-12-12 09:44:00-05:00,2023-12-12 14:09:00-05:00,394.63,397.635,53,-0.8014727719636116,-200.36819299090288
5,breakout,40,5.0,4.0,1.0,long,2023-12-12 15:04:00-05:00,2023-12-12 15:59:00-05:00,398.155,398.75,11,0.10943928871922197,27.35982217980549
5,breakout,40,5.0,4.0,1.0,long,2023-12-13 09:39:00-05:00,2023-12-13 11:29:00-05:00,400.4,399.6,22,-0.23980019980019304,-59.95004995004826
5,breakout,40,5.0,4.0,1.0,short,2023-12-13 13:09:00-05:00,2023-12-13 14:19:00-05:00,398.9811,401.8,14,-0.7465246950294091,-186.63117375735226
