timeframe_minutes,family,domcycle,leveling,entry_buffer,exit_ratio,final_equity,total_return_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_rate_pct,avg_trade_return_pct,avg_win_pct,avg_loss_pct,avg_holding_bars,long_trade_count,short_trade_count,long_avg_trade_return_pct,short_avg_trade_return_pct,positive_days_pct,positive_years,worst_year_return_pct,best_year_return_pct,avg_low_band,avg_high_band,avg_band_width,avg_long_entry_level,avg_long_exit_level,avg_short_entry_level,avg_short_exit_level,rank_in_timeframe
1,breakout,40,5.0,0.0,1.0,1446.1336627956223,-94.2154653488175,94.24607064792917,-3.416456239162943,0.7699051343740991,7620,36.70603674540682,-0.03656510703497536,0.33331867137360727,-0.2510716233544492,59.72716535433071,3811,3809,-0.029534630603964093,-0.04359927497369014,36.30522088353413,0,-47.91915110723195,-9.528626176392537,38.47186400302694,62.69745889589589,24.22559489287367,62.69745889589589,38.47186400302694,38.47186400302694,62.69745889589589,12
1,mean_reversion,30,5.0,4.0,0.5,1440.0915923304356,-94.23963363067826,94.34914908149983,-6.202902347790676,0.6365432397490263,7988,50.06259389083625,-0.03537603823227835,0.12375735126839735,-0.19490835826567693,21.310966449674513,4095,3893,-0.035498053091438324,-0.0352476922656025,35.66265060240964,0,-52.20485108529035,-11.618256582240805,36.95810552003781,64.25046974918932,27.292364229146905,32.95810552003687,50.604287634618814,68.25046974918806,50.604287634618814,13
1,mean_reversion,40,15.0,4.0,1.0,1304.6830266078682,-94.78126789356853,95.06971961999041,-4.268890445119017,0.7237252883999549,7527,51.2687657765378,-0.0385395702452755,0.1969185452665486,-0.28625845458555593,46.09459279925601,3819,3708,-0.03441013061868014,-0.042792625783020795,37.510040160642575,0,-53.77515028220434,-10.488114079717812,42.47539459770101,58.99267964462704,16.51728504692171,38.475394597703826,58.99267964462704,62.99267964462908,42.47539459770101,14
1,breakout,40,5.0,4.0,0.0,1258.6327333501135,-94.96546906659955,94.97368072570545,-11.244713689869569,0.4244078501425277,6810,25.33039647577093,-0.0437799086739882,0.12743872267831688,-0.10186292520943203,6.576064610866373,3253,3557,-0.043879469120972056,-0.04368885718845153,18.313253012048193,0,-49.08406758680149,-12.029664643579077,38.47186400302694,62.69745889589589,24.22559489287367,66.69745889590023,62.69745889589589,34.471864003029836,38.47186400302694,15
1,mean_reversion,40,5.0,2.0,0.5,1194.8294975087242,-95.2206820099651,95.42637095735851,-5.744989886814858,0.6428084990809075,7775,50.623794212218655,-0.03870169915977101,0.13758016763179207,-0.21943767928261768,26.91305466237942,3946,3829,-0.03746577154681679,-0.03997539212417448,36.22489959839357,0,-54.89014361818854,-12.569469243267672,38.47186400302694,62.69745889589589,24.22559489287367,36.471864003028664,50.5846614494616,64.69745889589782,50.5846614494616,16
1,breakout,30,5.0,4.0,1.0,1144.854311815484,-95.42058275273806,95.43970047849429,-4.699683546628716,0.7092200088850352,7054,36.404876665721574,-0.043071990167330015,0.28857043604801724,-0.2329199060213262,45.60688970796711,3484,3570,-0.04592549857251846,-0.04028722174052588,33.57429718875502,0,-52.363345611848324,-7.175637219370813,36.95810552003781,64.25046974918932,27.292364229146905,68.25046974918806,36.95810552003781,32.95810552003687,64.25046974918932,17
1,breakout,40,10.0,2.0,1.0,1107.2918331287563,-95.57083266748498,95.59255429565503,-3.950942333239491,0.7394008782674805,7664,35.12526096033403,-0.039917817293421996,0.322443956106082,-0.23611208398519268,51.50508872651357,3796,3868,-0.03489792911111207,-0.044844263917006896,34.77911646586345,0,-51.479730089385534,-9.469582330079824,40.70680563833108,60.646295406476774,19.939489768152118,62.64629540647774,40.70680563833108,38.70680563832994,60.646295406476774,18
1,mean_reversion,40,10.0,2.0,1.0,1093.788026413529,-95.62484789434589,95.84920839403557,-4.22238810425081,0.7265871164632546,7664,51.26565762004175,-0.04008218270657871,0.20777512310315968,-0.30081346905905176,51.50508872651357,3868,3796,-0.035155736082990066,-0.0451020708888845,36.70682730923695,0,-55.84867008284851,-11.586605541567193,40.70680563833108,60.646295406476774,19.939489768152118,38.70680563832994,60.646295406476774,62.64629540647774,40.70680563833108,19
1,breakout,40,15.0,4.0,1.0,1047.7652498929504,-95.8089390004282,95.8294929018359,-4.339665035815916,0.7195476118259235,7527,34.74159691776272,-0.04146042975472522,0.3061853560273244,-0.2265365148158147,46.09459279925601,3708,3819,-0.03720737421697602,-0.04558986938131637,34.377510040160644,0,-51.06393959497664,-10.60964861875284,42.47539459770101,58.99267964462704,16.51728504692171,62.99267964462908,42.47539459770101,38.475394597703826,58.99267964462704,20
1,breakout,40,10.0,4.0,0.5,1043.983434434964,-95.82406626226015,95.83983175183988,-5.767696383612472,0.6470686364444156,7418,31.544890806147208,-0.042392379331210324,0.24638760734846296,-0.17546547283858518,27.087894311135077,3631,3787,-0.042979097190427196,-0.04182983046750959,29.23694779116466,0,-56.65229955923976,-6.497886884448989,40.70680563833108,60.646295406476774,19.939489768152118,64.64629540647671,50.67655052240308,36.70680563832919,50.67655052240308,21
